2015. 4. 6.,초기화,1,12000,19,-12000
2015. 4. 6.,초기화,2,53602,19,-53602
2015. 4. 6.,초기화,3,9735,19,-9735
2015. 4. 6.,초기화,4,3225,19,-3225
2015. 4. 6.,초기화,5,222036,19,-222036
2015. 4. 6.,초기화,7,495559,19,-495559
2015. 4. 6.,초기화,6,1044025,19,-1044025
2015. 4. 6.,초기화,8,200048,19,-200048
2015. 4. 6.,초기화,9,14000000,19,-14000000
2015. 4. 6.,초기화,10,1200000,19,-1200000
2015. 4. 6.,초기화,11,6865115,19,-6865115
2015. 4. 6.,초기화,12,537313,19,-537313
2015. 4. 6.,초기화,13,300605,19,-300605
2015. 4. 6.,초기화,14,102114,19,-102114
2015. 4. 6.,초기화,36,220000,19,-220000
2015. 4. 6.,초기화,36,1000000,19,-1000000
2015. 4. 6.,초기화,36,270000,19,-270000
2015. 4. 6.,초기화,36,400000,19,-400000
2015. 4. 6.,초기화,36,350000,19,-350000
2015. 4. 6.,초기화,36,120000,19,-120000
2015. 4. 6.,초기화,36,100000,19,-100000
2015. 4. 6.,초기화,36,80000,19,-80000
2015. 4. 6.,초기화,36,60000,19,-60000
2015. 4. 6.,초기화,36,40000,19,-40000
2015. 4. 6.,초기화,36,20000,19,-20000
2015. 4. 7.,펀드수익,11,-5259,30,5259
2015. 4. 7.,펀드수익,12,3854,30,-3854
2015. 4. 7.,펀드수익,13,-1602,30,1602
2015. 4. 7.,펀드수익,14,-3893,30,3893
2015. 4. 7.,아버지 빌려드린 돈,4,20000000,30,-20000000
2015. 4. 7.,아버지 빌려드린 돈,4,4500000,30,-4500000
2015. 4. 7.,삼성카드 즉시상환 ,4,-24214816,30,24214816
2015. 4. 7.,매일캐시백,4,11600,30,-11600
2015. 4. 8.,아버지 빌려드림,6,-500000,30,500000
2015. 4. 8.,교보문고,16,-8000,22,8000
2015. 4. 9.,아버지 빌려드린돈,4,500000,30,-500000
2015. 4. 9.,CMA 이체,6,500000,4,-500000
2015. 4. 10.,2015년 3월 교통비,3,270000,30,-270000
2015. 4. 10.,마실,5,-30000,15,30000
2015. 4. 10.,꽃다방,5,-8500,15,8500
2015. 4. 10.,성심당,5,-14000,15,14000
2015. 4. 10.,주유비,15,-80000,28,80000
2015. 4. 10.,핫식스,15,-1000,15,1000
2015. 4. 11.,동근 축의금,3,-100000,30,100000
2015. 4. 11.,택시비,16,-4800,27,4800
2015. 4. 11.,동근 축의금 (민우),2,-51300,30,51300
2015. 4. 12.,택시비,16,-10100,27,10100
2015. 4. 12.,민우 빌려준 돈,2,52848,30,-52848
2015. 4. 12.,옥루몽,15,-8000,15,8000
2015. 4. 13.,하남돼지 회의비,16,-200000,15,200000
2015. 4. 13.,하남돼지 회의비,15,-55000,15,55000
2015. 4. 13.,여명,15,-5000,15,5000
2015. 4. 13.,반창고,15,-2000,24,2000
2015. 4. 13.,택시비,16,-7300,27,7300
2015. 4. 13.,Olleh요금,15,-56650,23,56650
2015. 4. 15.,바람과함께사라지다 (5/5),16,-44800,22,44800
2015. 4. 15.,디오 투자,6,-500000,30,500000
2015. 4. 15.,칫솔,15,-6100,24,6100
2015. 4. 15.,종이컵 회의비,16,-1300,30,1300
2015. 4. 16.,아침,15,-2850,15,2850
2015. 4. 17.,간식 회의비,16,-25250,15,25250
2015. 4. 17.,하남돼지집 카드깡,16,-55000,30,55000
2015. 4. 17.,하남돼지집 카드깡,1,46500,30,-46500
2015. 4. 18.,미림이 생일케이크,16,-4500,30,4500
2015. 4. 18.,리안헤어,15,-15000,25,15000
2015. 4. 18.,밀탑,15,-16000,15,16000
2015. 4. 18.,스타벅스,5,-9300,15,9300
2015. 4. 18.,캣츠 폰케이스,15,-36000,30,36000
2015. 4. 19.,주유,15,-60000,28,60000
2015. 4. 19.,원창이 빌려줌,6,-100000,30,100000
2015. 4. 19.,송,15,-25500,15,25500
2015. 4. 19.,밀탑,15,-8000,15,8000
2015. 4. 19.,주차비,15,-10000,28,10000
2015. 4. 20.,핫식스,15,-1750,15,1750
2015. 4. 20.,사이다,1,-1000,20,1000
2015. 4. 21.,2015년 4월 급여,4,2715950,30,-2715950
2015. 4. 21.,핫식스,15,-2400,15,2400
2015. 4. 21.,맛찬들,5,-36000,15,36000
2015. 4. 21.,할리스,5,-10400,15,10400
2015. 4. 21.,버블퐁,15,-12100,15,12100
2015. 4. 23.,초코파이,15,-2500,15,2500
2015. 4. 23.,PopOp 4차,2,1000000,30,-1000000
2015. 4. 24.,핫식스,1,-1000,20,1000
2015. 4. 24.,4월 회의비,3,288770,30,-288770
2015. 4. 24.,CMA 이체,6,900000,2,-900000
2015. 4. 24.,새마을금고 이체,3,-400000,4,400000
2015. 4. 24.,아버지 삼성카드 대금,4,521049,30,-521049
2015. 4. 24.,하나SK카드 대금,4,1439000,30,-1439000
2015. 4. 24.,정기적금,4,-1000000,9,1000000
2015. 4. 25.,이지함,16,-440000,25,440000
2015. 4. 25.,야자,5,-31000,22,31000
2015. 4. 25.,민석 술값,15,-45000,20,45000
2015. 4. 25.,4월 희망적금,4,-300000,10,300000
2015. 4. 25.,4월 연금저축,4,-200000,8,200000
2015. 4. 25.,4월 커플계좌,4,-200000,5,200000
2015. 4. 26.,혜영 어머님 화분,15,-18000,30,18000
2015. 4. 27.,학자금대출 상환,2,-46780,29,46780
2015. 4. 27.,학자금대출 상환,2,-4660,29,4660
2015. 4. 27.,학자금대출 상환,2,-50678,29,50678
2015. 4. 27.,학자금대출 상환,2,-47070,29,47070
2015. 4. 27.,3월 삼성카드대금,4,-1005246,16,1005246
2015. 4. 27.,3월 아멕스카드대금,4,-521049,18,521049
2015. 4. 27.,3월 하나SK카드대금,4,-1439000,17,1439000
2015. 4. 27.,3월 더클래식카드대금,4,-405691,15,405691
2015. 4. 27.,클래식차이나펀드불입,8,-100000,14,100000
2015. 4. 27.,클래식밸류펀드불입,8,-100000,13,100000
2015. 4. 28.,모뉴먼트밸리(윤지),18,-1073,22,1073
2015. 4. 28.,칫솔,15,-3300,24,3300
2015. 4. 28.,이지함 블루베리포인트,16,331000,30,-331000
2015. 4. 28.,클래식차이나펀드불입,8,-200000,14,200000
2015. 4. 29.,갤러리스튜디오 (1/5),15,-30000,22,30000
2015. 4. 29.,CMA 이체,6,300000,4,-300000
2015. 4. 29.,학자금대출 상환,6,-460622,26,460622
2015. 4. 29.,수미칩,15,-2600,20,2600
2015. 4. 30.,ING ,3,-55075,30,55075
2015. 4. 30.,신한BNPP 중국본토,6,-300000,39,300000
2015. 4. 30.,삼성중국본토포커스,6,-200000,12,200000
2015. 4. 30.,참곱소,15,-76000,20,76000
2015. 4. 30.,매드후라이,15,-46500,20,46500
2015. 4. 30.,민우 수암 회비,7,20000,30,-20000
2015. 4. 30.,핫식스,1,-1000,20,1000
2015. 5. 1.,개봉만두,15,-13500,20,13500
2015. 5. 1.,주유비,15,-40000,28,40000
2015. 5. 1.,윤지 원피스,15,-100240,21,100240
2015. 5. 1.,솔리드 옴므,15,-693600,21,693600
2015. 5. 1.,스타벅스,5,-5100,20,5100
2015. 5. 1.,라코스테,15,-82600,21,82600
2015. 5. 1.,아사칸,15,-36600,20,36600
2015. 5. 2.,솔리드 옴므,15,-36000,21,36000
2015. 5. 2.,반창고,15,-2500,24,2500
2015. 5. 3.,티퍼플,15,-9500,20,9500
2015. 5. 3.,맛찬들,15,-40000,20,40000
2015. 5. 3.,제피란서스,15,-30000,22,30000
2015. 5. 4.,동근 수암 회비,7,20000,30,-20000
2015. 5. 4.,수암 5월 회비,6,-20000,7,20000
2015. 5. 4.,수연 카드깡,2,30700,30,-30700
2015. 5. 4.,경국 카드깡,2,30625,30,-30625
2015. 5. 4.,형진 카드깡,2,30625,30,-30625
2015. 5. 5.,홈플러스,15,-21870,20,21870
2015. 5. 6.,아침,15,-3650,20,3650
2015. 5. 6.,주유비,15,-60000,28,60000
2015. 5. 7.,윤지 커플계좌 입금,5,176000,30,-176000
2015. 5. 7.,아버지 빌려드림,6,-600000,30,600000
2015. 5. 7.,원창이 상환,2,100000,30,-100000
2015. 5. 7.,간식,15,-2900,20,2900
2015. 5. 8.,아버지 빌려드림,5,-300500,30,300500
2015. 5. 8.,아이폰 케이스 (3/5),16,-10000,23,10000
2015. 5. 10.,CGV,15,-6000,20,6000
2015. 5. 10.,CPK,15,-15900,20,15900
2015. 5. 10.,아이파크몰 주차비,15,-3700,28,3700
2015. 5. 10.,호아빈 오리지널,15,-20500,20,20500
2015. 5. 11.,적금풍차1,6,-20000,36,20000
2015. 5. 11.,적금풍차2,6,-100000,36,100000
2015. 5. 11.,적금풍차3,6,-30000,36,30000
2015. 5. 11.,적금풍차4,6,-50000,36,50000
2015. 5. 11.,적금풍차5,6,-50000,36,50000
2015. 5. 11.,적금풍차6,6,-20000,36,20000
2015. 5. 11.,적금풍차7,6,-20000,36,20000
2015. 5. 11.,적금풍차8,6,-20000,36,20000
2015. 5. 11.,적금풍차9,6,-20000,36,20000
2015. 5. 11.,적금풍차10,6,-20000,36,20000
2015. 5. 11.,적금풍차11,6,-20000,36,20000
2015. 5. 11.,적금풍차12,6,-20000,36,20000
2015. 5. 11.,매일캐시백,4,10000,30,-10000
2015. 5. 11.,아버지 빌려드린 돈,4,900000,30,-900000
2015. 5. 11.,CMA 이체,6,600000,4,-600000
2015. 5. 11.,커플통장 이체,4,-300500,5,300500
2015. 5. 11.,디오 매도,6,553315,30,-553315
2015. 5. 11.,제심 수암 회비,7,20000,30,-20000
2015. 5. 12.,4월 교통비,3,315000,30,-315000
2015. 5. 13.,주유비,15,-70000,28,70000
2015. 5. 13.,준오헤어 강남3,16,-21300,25,21300
2015. 5. 13.,교보문고,15,-11000,22,11000
2015. 5. 14.,참나무집 (회의비),16,-225000,20,225000
2015. 5. 15.,아미코젠 매수,6,-711000,30,711000
2015. 5. 15.,메이란 (갤러리아),5,-22000,20,22000
2015. 5. 16.,커피 (문막),15,-4800,20,4800
2015. 5. 16.,이로운한우,15,-49350,20,49350
2015. 5. 16.,하나로마트,15,-91210,20,91210
2015. 5. 16.,이로운한우,15,-138880,20,138880
2015. 5. 16.,이로운한우,15,-49000,20,49000
2015. 5. 17.,주유 (군위),15,-98459,28,98459
2015. 5. 17.,마운틴듀,15,-1500,20,1500
2015. 5. 17.,203,5,-11500,20,11500
